                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 1.0368,                0.64249,                 1.2866,                0.86048,                0.90886,                0.94732,                0.62887,                  1.134,                 0.7131,                 1.4032,             0.00073337,             0.00073337,             0.00073337
                    106,                 1.0295,                0.62606,                   1.31,                0.88317,                0.92859,                0.95993,                0.67368,                 1.0895,                0.66599,                 1.3766,              0.0007297,              0.0007297,              0.0007297
                    107,                 1.0048,                 0.6225,                 1.2916,                 0.8509,                0.91761,                0.95195,                0.65133,                 1.1794,                 0.6587,                 1.3934,             0.00072604,             0.00072604,             0.00072604
                    108,                 1.0127,                0.62438,                 1.2862,                0.92306,                0.91575,                 0.9533,                0.65498,                 1.0844,                0.63239,                 1.3931,             0.00072237,             0.00072237,             0.00072237
                    109,                 1.0329,                 0.6498,                 1.2943,                0.93668,                0.90989,                0.95945,                0.66833,                 1.0758,                0.61716,                 1.3756,             0.00071871,             0.00071871,             0.00071871
                    110,                 1.0543,                0.65519,                 1.3112,                0.88798,                0.90981,                0.95056,                0.66653,                 1.0992,                0.61287,                 1.3919,             0.00071504,             0.00071504,             0.00071504
                    111,                0.98771,                0.61611,                 1.2732,                0.94292,                0.89735,                0.96203,                 0.6618,                 1.1347,                0.66901,                 1.3816,             0.00071137,             0.00071137,             0.00071137
                    112,                 1.0374,                0.62122,                 1.2865,                 0.9007,                0.87498,                0.94319,                0.64155,                  1.178,                0.73848,                 1.4113,             0.00070771,             0.00070771,             0.00070771
                    113,                 1.0022,                0.60817,                 1.2978,                0.94235,                0.88315,                 0.9498,                0.66172,                 1.1074,                 0.6404,                 1.3716,             0.00070404,             0.00070404,             0.00070404
                    114,                 1.0086,                0.60636,                 1.2699,                0.90237,                0.88758,                0.94531,                0.66316,                 1.0905,                0.64718,                 1.3725,             0.00070037,             0.00070037,             0.00070037
                    115,                 1.0056,                 0.6372,                 1.2806,                0.91274,                0.93615,                0.96495,                0.66383,                 1.1378,                 0.6181,                 1.3923,             0.00069671,             0.00069671,             0.00069671
                    116,                 1.0191,                0.62263,                  1.295,                0.92832,                0.91253,                0.96562,                0.64981,                  1.128,                0.62244,                 1.4165,             0.00069304,             0.00069304,             0.00069304
                    117,                0.99084,                0.59998,                 1.2774,                 0.9123,                0.93349,                0.96242,                0.67992,                 1.0865,                0.62546,                 1.3659,             0.00068938,             0.00068938,             0.00068938
                    118,                 1.0011,                0.59049,                 1.2795,                0.87521,                 0.8805,                0.95369,                0.65831,                 1.0919,                0.69179,                 1.3972,             0.00068571,             0.00068571,             0.00068571
                    119,                0.97937,                0.59132,                 1.2681,                0.91233,                0.90456,                0.95006,                0.65981,                 1.1538,                0.60258,                 1.3935,             0.00068204,             0.00068204,             0.00068204
                    120,                0.99727,                0.59789,                 1.2655,                0.87825,                0.90871,                  0.951,                0.65869,                 1.1495,                0.65975,                 1.4047,             0.00067838,             0.00067838,             0.00067838
                    121,                 0.9899,                0.61006,                 1.2841,                0.91509,                0.92682,                 0.9638,                0.67053,                 1.1241,                0.58923,                 1.3711,             0.00067471,             0.00067471,             0.00067471
                    122,                0.99815,                0.58072,                 1.2748,                 0.8702,                0.91758,                  0.946,                0.65219,                   1.13,                 0.6647,                 1.4057,             0.00067104,             0.00067104,             0.00067104
                    123,                0.99282,                 0.6003,                 1.2803,                0.91265,                0.90876,                0.94849,                0.67757,                  1.075,                0.62786,                 1.3946,             0.00066738,             0.00066738,             0.00066738
                    124,                0.96878,                0.57178,                 1.2635,                0.92436,                0.91499,                0.95833,                0.67649,                 1.0839,                0.62604,                 1.3641,             0.00066371,             0.00066371,             0.00066371
                    125,                0.98849,                 0.5898,                 1.2667,                0.94696,                0.91719,                0.96415,                 0.6831,                 1.0836,                0.64567,                 1.3713,             0.00066005,             0.00066005,             0.00066005
                    126,                0.95928,                0.57614,                 1.2534,                0.92149,                0.89553,                0.95639,                0.68291,                 1.1007,                0.63479,                 1.3716,             0.00065638,             0.00065638,             0.00065638
                    127,                0.98515,                0.58746,                 1.2696,                0.89519,                0.89124,                0.95673,                0.67892,                 1.0808,                0.62899,                 1.3662,             0.00065271,             0.00065271,             0.00065271
                    128,                0.98111,                0.60582,                 1.2528,                0.90247,                0.92611,                0.94263,                0.65881,                 1.0746,                0.60527,                 1.3582,             0.00064905,             0.00064905,             0.00064905
                    129,                0.96824,                0.58382,                 1.2414,                 0.9097,                0.92771,                0.96475,                0.64732,                 1.1769,                 0.6499,                 1.3975,             0.00064538,             0.00064538,             0.00064538
                    130,                0.98142,                0.58188,                 1.2603,                0.94545,                0.87754,                0.95025,                0.66981,                  1.102,                0.61495,                  1.375,             0.00064171,             0.00064171,             0.00064171
                    131,                0.95932,                0.57441,                 1.2495,                0.95402,                0.88251,                0.95414,                0.65283,                 1.1348,                0.64318,                 1.3948,             0.00063805,             0.00063805,             0.00063805
                    132,                0.98793,                0.60025,                 1.2616,                0.95548,                0.90433,                0.96517,                0.67917,                 1.1106,                0.58383,                 1.3667,             0.00063438,             0.00063438,             0.00063438
                    133,                0.99999,                0.59559,                 1.2624,                0.88174,                0.91391,                 0.9451,                 0.6487,                 1.1584,                0.63759,                 1.4025,             0.00063071,             0.00063071,             0.00063071
                    134,                0.98079,                0.57204,                 1.2587,                0.93497,                 0.8761,                0.95358,                0.66025,                 1.1182,                0.65422,                 1.3838,             0.00062705,             0.00062705,             0.00062705
                    135,                0.95859,                0.56382,                  1.237,                0.92323,                0.90986,                0.95896,                0.66129,                 1.1082,                0.62076,                 1.3969,             0.00062338,             0.00062338,             0.00062338
                    136,                0.94785,                 0.5718,                  1.236,                0.92686,                0.90455,                 0.9672,                0.68335,                 1.1073,                0.58635,                 1.3785,             0.00061972,             0.00061972,             0.00061972
                    137,                0.95872,                 0.5879,                 1.2448,                0.89233,                 0.9263,                0.95363,                0.65062,                 1.1325,                0.62552,                 1.4097,             0.00061605,             0.00061605,             0.00061605
                    138,                0.93521,                0.55777,                 1.2264,                0.91869,                 0.9094,                0.96407,                0.66646,                 1.1332,                0.62952,                 1.4253,             0.00061238,             0.00061238,             0.00061238
                    139,                0.90825,                0.54953,                 1.2166,                0.93605,                0.90604,                 0.9592,                0.67443,                 1.1257,                0.65711,                 1.4068,             0.00060872,             0.00060872,             0.00060872
                    140,                0.91366,                0.55759,                 1.2093,                0.95475,                0.88941,                0.96405,                0.65966,                 1.1241,                0.62666,                 1.4024,             0.00060505,             0.00060505,             0.00060505
                    141,                0.93276,                0.55424,                 1.2178,                0.92751,                0.93719,                0.97267,                0.67336,                 1.1002,                0.57399,                 1.3816,             0.00060138,             0.00060138,             0.00060138
                    142,                0.92284,                0.54373,                 1.2135,                0.92659,                0.94377,                0.97205,                0.67949,                 1.1103,                0.59035,                 1.4048,             0.00059772,             0.00059772,             0.00059772
                    143,                0.93414,                0.56182,                 1.2264,                0.94555,                0.94436,                0.95804,                0.66853,                 1.1252,                0.58281,                 1.3969,             0.00059405,             0.00059405,             0.00059405
                    144,                0.89427,                0.52215,                 1.2027,                0.94944,                0.90494,                 0.9651,                0.67501,                 1.0875,                0.57993,                  1.384,             0.00059039,             0.00059039,             0.00059039
                    145,                0.93502,                0.54874,                 1.2327,                0.92312,                0.90747,                0.96303,                0.66055,                 1.1576,                0.62579,                 1.4106,             0.00058672,             0.00058672,             0.00058672
                    146,                0.94101,                0.55551,                  1.235,                0.94041,                0.93545,                 0.9638,                0.67471,                 1.1131,                0.55282,                 1.3772,             0.00058305,             0.00058305,             0.00058305
                    147,                0.94027,                0.56455,                 1.2366,                0.94331,                0.89489,                0.97135,                0.66375,                  1.139,                0.59842,                 1.3888,             0.00057939,             0.00057939,             0.00057939
                    148,                0.92527,                0.55264,                 1.2397,                0.92967,                0.90115,                0.94935,                0.67337,                 1.1192,                0.60555,                 1.3909,             0.00057572,             0.00057572,             0.00057572
